Country Or Territory,NUTS Code,Air Pollutant,Category,Outcome,Health Indicator,Description Of Age Group,Population,Affected Population,Air Pollution Population Weighted Average [ug/m3],Value,Value for 100k Of Affected Population
Spain,ES,NO2,Morbidity,Diabetes Mellitus,Years Lived with Disability (YLD),>= 25 years of age,45352172,34392718,14.9,9820,28.6
Spain,ES,NO2,Mortality,Asthma - children and adolescents,Years of Life Lost (YLL),< 19 years of age,45352172,8195593,14.9,16,0.2
Spain,ES,O3,Mortality,All causes,Attributable deaths (AD),>= 25 years of age,45352172,34392718,93.8,6793,19.8
Spain,ES,O3,Mortality,All causes,Years of Life Lost (YLL),>= 25 years of age,45352172,34392718,93.8,67680,196.8
Spain,ES,O3,Mortality,All causes,Years of Life Lost (YLL),>= 0 years of age,45352172,45352171,5331.3,27093,59.7
Spain,ES,PM2.5,Mortality,All causes,Years of Life Lost (YLL),>= 30 years of age,45352172,31987919,10.8,181831,568.4
Spain,ES,PM2.5,Mortality,Ischemic heart disease,Attributable deaths (AD),>= 25 years of age,45352172,34392718,10.8,3157,9.2
Spain,ES,NO2,Mortality,All causes,Attributable deaths (AD),>= 30 years of age,45352172,31987919,14.9,5032,15.7
Spain,ES,NO2,Mortality,Diabetes Mellitus,Years of Life Lost (YLL),>= 25 years of age,45352172,34392718,14.9,9760,28.4
Netherlands,NL,NO2,Morbidity,Chronic obstructive pulmonary disease,Years Lived with Disability (YLD),>= 25 years of age,17589242,12718935,15.6,1763,13.9
Netherlands,NL,NO2,Mortality,Asthma - children and adolescents,Attributable deaths (AD),< 19 years of age,17589242,3514619,15.6,0,0.0
Netherlands,NL,NO2,Mortality,Chronic obstructive pulmonary disease,Attributable deaths (AD),>= 25 years of age,17589242,12718935,15.6,480,3.8
Netherlands,NL,NO2,Mortality,Stroke,Attributable deaths (AD),>= 25 years of age,17589242,12718935,15.6,338,2.7
Netherlands,NL,NO2,Total burden of disease,Asthma - adults,Disability-Adjusted Life Years (DALY),>= 19 years of age,17589242,14074622,15.6,1887,13.4
Netherlands,NL,PM2.5,Total burden of disease,Ischemic heart disease,Disability-Adjusted Life Years (DALY),>= 25 years of age,17589242,12718935,9.3,8102,63.7
Luxembourg,LU,PM2.5,Morbidity,Diabetes Mellitus,Years Lived with Disability (YLD),>= 25 years of age,645393,470522,7.4,37,7.9
Luxembourg,LU,PM2.5,Morbidity,Lung cancer,Years Lived with Disability (YLD),>= 25 years of age,645393,470522,7.4,1,0.4
Luxembourg,LU,NO2,Morbidity,Asthma - adults,Years Lived with Disability (YLD),>= 19 years of age,645393,516093,13.4,43,8.3
Luxembourg,LU,NO2,Morbidity,Stroke,Years Lived with Disability (YLD),>= 25 years of age,645393,470522,13.4,22,4.7
Luxembourg,LU,NO2,Mortality,All causes,Years of Life Lost (YLL),>= 30 years of age,645393,421739,13.4,353,83.7
Luxembourg,LU,O3,Mortality,All causes,Years of Life Lost (YLL),>= 25 years of age,645393,470522,91.1,658,139.9
Luxembourg,LU,PM2.5,Morbidity,Ischemic heart disease,Years Lived with Disability (YLD),>= 25 years of age,645393,470522,7.4,4,1.1
Luxembourg,LU,PM2.5,Mortality,All causes,Years of Life Lost (YLL),>= 30 years of age,645393,421739,7.4,824,195.6
Luxembourg,LU,PM2.5,Total burden of disease,Stroke,Disability-Adjusted Life Years (DALY),>= 25 years of age,645393,470522,7.4,149,31.7
Spain,ES,PM2.5,Mortality,Lung cancer,Attributable deaths (AD),>= 25 years of age,45352172,34392718,10.8,2290,6.7
Spain,ES,PM2.5,Mortality,Stroke,Attributable deaths (AD),>= 25 years of age,45352172,34392718,10.8,3036,8.8
Spain,ES,PM2.5,Total burden of disease,Stroke,Disability-Adjusted Life Years (DALY),>= 25 years of age,45352172,34392718,10.8,34319,99.8
Netherlands,NL,NO2,Total burden of disease,Diabetes Mellitus,Disability-Adjusted Life Years (DALY),>= 25 years of age,17589242,12718935,15.6,6211,48.8
Netherlands,NL,NO2,Total burden of disease,Stroke,Disability-Adjusted Life Years (DALY),>= 25 years of age,17589242,12718935,15.6,4524,35.6
Slovakia,SK,NO2,Mortality,Diabetes Mellitus,Years of Life Lost (YLL),>= 25 years of age,5434620,4025891,11.1,346,8.6
Slovakia,SK,NO2,Total burden of disease,Stroke,Disability-Adjusted Life Years (DALY),>= 25 years of age,5434620,4025891,11.1,805,20.0
Slovakia,SK,PM2.5,Morbidity,Diabetes Mellitus,Years Lived with Disability (YLD),>= 25 years of age,5434620,4025891,13.7,1892,47.0
Slovakia,SK,PM2.5,Mortality,Chronic obstructive pulmonary disease,Attributable deaths (AD),>= 25 years of age,5434620,4025891,13.7,132,3.3
Monaco,MC,NO2,Morbidity,Asthma - children and adolescents,Years Lived with Disability (YLD),< 19 years of age,38338,8584,17.1,2,25.1
Monaco,MC,NO2,Mortality,Stroke,Attributable deaths (AD),>= 25 years of age,38338,27085,17.1,0,3.0
Monaco,MC,NO2,Total burden of disease,Asthma - adults,Disability-Adjusted Life Years (DALY),>= 19 years of age,38338,29753,17.1,6,20.6
Monaco,MC,PM2.5,Morbidity,Lung cancer,Years Lived with Disability (YLD),>= 25 years of age,38338,27085,10.2,0,1.1
Spain,ES,NO2,Mortality,Diabetes Mellitus,Attributable deaths (AD),>= 25 years of age,45352172,34392718,14.9,1190,3.5
Spain,ES,NO2,Mortality,Stroke,Attributable deaths (AD),>= 25 years of age,45352172,34392718,14.9,904,2.6
Spain,ES,NO2,Mortality,Stroke,Years of Life Lost (YLL),>= 25 years of age,45352172,34392718,14.9,8169,23.8
Spain,ES,PM2.5,Morbidity,Lung cancer,Years Lived with Disability (YLD),>= 25 years of age,45352172,34392718,10.8,312,0.9
Spain,ES,PM2.5,Mortality,Lung cancer,Years of Life Lost (YLL),>= 25 years of age,45352172,34392718,10.8,36851,107.2
Andorra,AD,NO2,Mortality,Asthma - adults,Years of Life Lost (YLL),>= 19 years of age,79531,61723,12.9,0,0.7
Andorra,AD,NO2,Total burden of disease,Diabetes Mellitus,Disability-Adjusted Life Years (DALY),>= 25 years of age,79531,56188,12.9,23,42.0
Andorra,AD,O3,Mortality,All causes,Attributable deaths (AD),>= 25 years of age,79531,56188,84.9,8,14.7
Andorra,AD,O3,Mortality,All causes,Years of Life Lost (YLL),>= 0 years of age,79531,79530,3586.1,33,42.5
Andorra,AD,PM2.5,Morbidity,Asthma - children and adolescents,Years Lived with Disability (YLD),< 19 years of age,79531,17807,7.3,3,21.0
Andorra,AD,PM2.5,Morbidity,Dementia,Years Lived with Disability (YLD),>= 60 years of age,79531,21480,7.3,28,130.4
Bosnia and Herzegovina,BA,O3,Mortality,All causes,Years of Life Lost (YLL),>= 25 years of age,3464376,2609370,98.5,8969,343.7
Bosnia and Herzegovina,BA,PM2.5,Morbidity,Dementia,Years Lived with Disability (YLD),>= 60 years of age,3464376,974820,20.6,4507,462.4
Bosnia and Herzegovina,BA,PM2.5,Mortality,All causes,Attributable deaths (AD),>= 30 years of age,3464376,2403974,20.6,6038,251.2
Bosnia and Herzegovina,BA,PM2.5,Mortality,Chronic obstructive pulmonary disease,Years of Life Lost (YLL),>= 25 years of age,3464376,2609370,20.6,3138,120.3
Bosnia and Herzegovina,BA,PM2.5,Total burden of disease,Chronic obstructive pulmonary disease,Disability-Adjusted Life Years (DALY),>= 25 years of age,3464376,2609370,20.6,4708,180.4
Spain,ES,NO2,Mortality,Asthma - children and adolescents,Attributable deaths (AD),< 19 years of age,45352172,8195593,14.9,0,0.0
Spain,ES,O3,Mortality,Chronic obstructive pulmonary disease,Attributable deaths (AD),>= 25 years of age,45352172,34392718,93.8,650,1.9
Slovakia,SK,NO2,Morbidity,Diabetes Mellitus,Years Lived with Disability (YLD),>= 25 years of age,5434620,4025891,11.1,384,9.5
Monaco,MC,PM2.5,Mortality,Stroke,Attributable deaths (AD),>= 25 years of age,38338,27085,10.2,2,7.8
Monaco,MC,NO2,Mortality,Asthma - adults,Years of Life Lost (YLL),>= 19 years of age,38338,29753,17.1,0,1.1
Monaco,MC,NO2,Total burden of disease,Diabetes Mellitus,Disability-Adjusted Life Years (DALY),>= 25 years of age,38338,27085,17.1,18,69.5
Monaco,MC,PM2.5,Mortality,All causes,Years of Life Lost (YLL),>= 30 years of age,38338,24953,10.2,143,575.1
Monaco,MC,PM2.5,Total burden of disease,Ischemic heart disease,Disability-Adjusted Life Years (DALY),>= 25 years of age,38338,27085,10.2,20,75.6
Portugal,PT,NO2,Morbidity,Chronic obstructive pulmonary disease,Years Lived with Disability (YLD),>= 25 years of age,9925856,7594707,11.9,670,8.8
Portugal,PT,NO2,Mortality,Stroke,Years of Life Lost (YLL),>= 25 years of age,9925856,7594707,11.9,1640,21.6
Portugal,PT,PM2.5,Morbidity,Chronic obstructive pulmonary disease,Years Lived with Disability (YLD),>= 25 years of age,9925856,7594707,9.3,2478,32.6
Portugal,PT,PM2.5,Morbidity,Ischemic heart disease,Years Lived with Disability (YLD),>= 25 years of age,9925856,7594707,9.3,376,5.0
Portugal,PT,PM2.5,Mortality,Stroke,Years of Life Lost (YLL),>= 25 years of age,9925856,7594707,9.3,7402,97.5
Slovenia,SI,NO2,Morbidity,Stroke,Years Lived with Disability (YLD),>= 25 years of age,2107118,1591902,12.3,122,7.7
Slovenia,SI,NO2,Mortality,Asthma - adults,Years of Life Lost (YLL),>= 19 years of age,2107118,1712450,12.3,5,0.3
Slovenia,SI,NO2,Mortality,Chronic obstructive pulmonary disease,Years of Life Lost (YLL),>= 25 years of age,2107118,1591902,12.3,122,7.7
Slovenia,SI,NO2,Mortality,Diabetes Mellitus,Years of Life Lost (YLL),>= 25 years of age,2107118,1591902,12.3,198,12.5
Slovenia,SI,NO2,Mortality,Stroke,Years of Life Lost (YLL),>= 25 years of age,2107118,1591902,12.3,296,18.6
Slovenia,SI,NO2,Total burden of disease,Chronic obstructive pulmonary disease,Disability-Adjusted Life Years (DALY),>= 25 years of age,2107118,1591902,12.3,212,13.4
Slovenia,SI,O3,Mortality,All causes,Attributable deaths (AD),>= 25 years of age,2107118,1591902,100.2,361,22.7
Slovenia,SI,O3,Mortality,All causes,Years of Life Lost (YLL),>= 25 years of age,2107118,1591902,100.2,3774,237.1
Slovenia,SI,PM2.5,Mortality,Chronic obstructive pulmonary disease,Years of Life Lost (YLL),>= 25 years of age,2107118,1591902,13.5,540,34.0
Slovenia,SI,PM2.5,Mortality,Ischemic heart disease,Years of Life Lost (YLL),>= 25 years of age,2107118,1591902,13.5,3301,207.4
Portugal,PT,NO2,Morbidity,Stroke,Years Lived with Disability (YLD),>= 25 years of age,9925856,7594707,11.9,710,9.3
Portugal,PT,O3,Mortality,All causes,Attributable deaths (AD),>= 25 years of age,9925856,7594707,88.1,1477,19.4
Portugal,PT,O3,Mortality,Chronic obstructive pulmonary disease,Years of Life Lost (YLL),>= 25 years of age,9925856,7594707,88.1,953,12.5
Portugal,PT,O3,Mortality,All causes,Years of Life Lost (YLL),>= 0 years of age,9925856,9925855,4135.7,5508,55.5
Portugal,PT,PM2.5,Morbidity,Dementia,Years Lived with Disability (YLD),>= 60 years of age,9925856,3027249,9.3,6474,213.9
Portugal,PT,PM2.5,Total burden of disease,Asthma - children and adolescents,Disability-Adjusted Life Years (DALY),< 19 years of age,9925856,1693564,9.3,812,48.0
Portugal,PT,PM2.5,Total burden of disease,Stroke,Disability-Adjusted Life Years (DALY),>= 25 years of age,9925856,7594707,9.3,9608,126.5
Slovakia,SK,NO2,Morbidity,Chronic obstructive pulmonary disease,Years Lived with Disability (YLD),>= 25 years of age,5434620,4025891,11.1,112,2.8
Slovakia,SK,NO2,Mortality,Chronic obstructive pulmonary disease,Years of Life Lost (YLL),>= 25 years of age,5434620,4025891,11.1,213,5.3
Bosnia and Herzegovina,BA,PM2.5,Mortality,Diabetes Mellitus,Attributable deaths (AD),>= 25 years of age,3464376,2609370,20.6,851,32.6
Bosnia and Herzegovina,BA,PM2.5,Mortality,Ischemic heart disease,Years of Life Lost (YLL),>= 25 years of age,3464376,2609370,20.6,12085,463.1
Bosnia and Herzegovina,BA,PM2.5,Total burden of disease,Diabetes Mellitus,Disability-Adjusted Life Years (DALY),>= 25 years of age,3464376,2609370,20.6,10009,383.6
Slovakia,SK,NO2,Morbidity,Asthma - adults,Years Lived with Disability (YLD),>= 19 years of age,5434620,4351172,11.1,126,2.9
Slovakia,SK,NO2,Mortality,Chronic obstructive pulmonary disease,Attributable deaths (AD),>= 25 years of age,5434620,4025891,11.1,17,0.4
Slovakia,SK,NO2,Mortality,Stroke,Attributable deaths (AD),>= 25 years of age,5434620,4025891,11.1,58,1.5
Slovakia,SK,O3,Mortality,All causes,Years of Life Lost (YLL),>= 25 years of age,5434620,4025891,94.3,9823,244.0
Slovakia,SK,PM2.5,Morbidity,Dementia,Years Lived with Disability (YLD),>= 60 years of age,5434620,1293051,13.7,3674,284.2
Slovakia,SK,PM2.5,Morbidity,Lung cancer,Years Lived with Disability (YLD),>= 25 years of age,5434620,4025891,13.7,42,1.0
Slovakia,SK,PM2.5,Mortality,Stroke,Attributable deaths (AD),>= 25 years of age,5434620,4025891,13.7,866,21.5
Slovakia,SK,PM2.5,Total burden of disease,Asthma - children and adolescents,Disability-Adjusted Life Years (DALY),< 19 years of age,5434620,1083447,13.7,463,42.8
Sweden,SE,O3,Mortality,All causes,Years of Life Lost (YLL),>= 25 years of age,10444357,7438361,78.6,7182,96.6
Spain,ES,NO2,Morbidity,Asthma - adults,Years Lived with Disability (YLD),>= 19 years of age,45352172,37156578,14.9,3162,8.5
Spain,ES,NO2,Morbidity,Stroke,Years Lived with Disability (YLD),>= 25 years of age,45352172,34392718,14.9,2959,8.6
Spain,ES,NO2,Mortality,Chronic obstructive pulmonary disease,Years of Life Lost (YLL),>= 25 years of age,45352172,34392718,14.9,7544,21.9
Spain,ES,NO2,Total burden of disease,Asthma - children and adolescents,Disability-Adjusted Life Years (DALY),< 19 years of age,45352172,8195593,14.9,1277,15.6
Spain,ES,PM2.5,Morbidity,Diabetes Mellitus,Years Lived with Disability (YLD),>= 25 years of age,45352172,34392718,10.8,10822,31.5
Spain,ES,PM2.5,Mortality,All causes,Attributable deaths (AD),>= 30 years of age,45352172,31987919,10.8,18315,57.3
Spain,ES,PM2.5,Mortality,Asthma - children and adolescents,Years of Life Lost (YLL),< 19 years of age,45352172,8195593,10.8,37,0.5
Spain,ES,PM2.5,Mortality,Ischemic heart disease,Years of Life Lost (YLL),>= 25 years of age,45352172,34392718,10.8,36144,105.1
Spain,ES,PM2.5,Total burden of disease,Asthma - children and adolescents,Disability-Adjusted Life Years (DALY),< 19 years of age,45352172,8195593,10.8,2900,35.4
Spain,ES,PM2.5,Total burden of disease,Ischemic heart disease,Disability-Adjusted Life Years (DALY),>= 25 years of age,45352172,34392718,10.8,36529,106.2
Sweden,SE,PM2.5,Morbidity,Diabetes Mellitus,Years Lived with Disability (YLD),>= 25 years of age,10444357,7438361,5.3,236,3.2
Sweden,SE,NO2,Morbidity,Chronic obstructive pulmonary disease,Years Lived with Disability (YLD),>= 25 years of age,10444357,7438361,6.7,19,0.3
Sweden,SE,NO2,Mortality,All causes,Attributable deaths (AD),>= 30 years of age,10444357,6746574,6.7,56,0.8
Slovakia,SK,NO2,Mortality,Diabetes Mellitus,Attributable deaths (AD),>= 25 years of age,5434620,4025891,11.1,29,0.7
Bosnia and Herzegovina,BA,NO2,Mortality,All causes,Attributable deaths (AD),>= 30 years of age,3464376,2403974,12.3,426,17.8
Bosnia and Herzegovina,BA,NO2,Mortality,All causes,Years of Life Lost (YLL),>= 30 years of age,3464376,2403974,12.3,4032,167.8
Bosnia and Herzegovina,BA,O3,Mortality,All causes,Attributable deaths (AD),>= 25 years of age,3464376,2609370,98.5,944,36.2
Bosnia and Herzegovina,BA,PM2.5,Morbidity,Stroke,Years Lived with Disability (YLD),>= 25 years of age,3464376,2609370,20.6,1496,57.3
Bosnia and Herzegovina,BA,PM2.5,Mortality,Asthma - children and adolescents,Years of Life Lost (YLL),< 19 years of age,3464376,639799,20.6,12,2.0
Portugal,PT,NO2,Mortality,Chronic obstructive pulmonary disease,Years of Life Lost (YLL),>= 25 years of age,9925856,7594707,11.9,848,11.2
Portugal,PT,NO2,Total burden of disease,Diabetes Mellitus,Disability-Adjusted Life Years (DALY),>= 25 years of age,9925856,7594707,11.9,3674,48.4
Portugal,PT,NO2,Total burden of disease,Stroke,Disability-Adjusted Life Years (DALY),>= 25 years of age,9925856,7594707,11.9,2350,31.0
Portugal,PT,O3,Mortality,Chronic obstructive pulmonary disease,Attributable deaths (AD),>= 25 years of age,9925856,7594707,88.1,110,1.5
Portugal,PT,PM2.5,Mortality,Chronic obstructive pulmonary disease,Years of Life Lost (YLL),>= 25 years of age,9925856,7594707,9.3,2002,26.4
Portugal,PT,PM2.5,Mortality,Ischemic heart disease,Years of Life Lost (YLL),>= 25 years of age,9925856,7594707,9.3,6605,87.0
Portugal,PT,NO2,Morbidity,Asthma - adults,Years Lived with Disability (YLD),>= 19 years of age,9925856,8232291,11.9,580,7.0
Portugal,PT,NO2,Mortality,All causes,Attributable deaths (AD),>= 30 years of age,9925856,7075770,11.9,746,10.6
Slovenia,SI,NO2,Morbidity,Chronic obstructive pulmonary disease,Years Lived with Disability (YLD),>= 25 years of age,2107118,1591902,12.3,90,5.7
Slovenia,SI,PM2.5,Mortality,Asthma - children and adolescents,Years of Life Lost (YLL),< 19 years of age,2107118,394667,13.5,0,0.0
Slovakia,SK,O3,Mortality,Chronic obstructive pulmonary disease,Years of Life Lost (YLL),>= 25 years of age,5434620,4025891,94.3,483,12.0
Slovakia,SK,O3,Mortality,All causes,Attributable deaths (AD),>= 0 years of age,5434620,5434619,4970.9,330,6.1
Slovakia,SK,PM2.5,Mortality,Diabetes Mellitus,Attributable deaths (AD),>= 25 years of age,5434620,4025891,13.7,278,6.9
Slovakia,SK,PM2.5,Mortality,Ischemic heart disease,Years of Life Lost (YLL),>= 25 years of age,5434620,4025891,13.7,22575,560.8
Slovakia,SK,PM2.5,Mortality,Lung cancer,Years of Life Lost (YLL),>= 25 years of age,5434620,4025891,13.7,4329,107.5
Romania,RO,NO2,Morbidity,Diabetes Mellitus,Years Lived with Disability (YLD),>= 25 years of age,19038068,13957171,15.9,2849,20.4
Romania,RO,O3,Mortality,Chronic obstructive pulmonary disease,Attributable deaths (AD),>= 25 years of age,19038068,13957171,86.0,216,1.6
Romania,RO,PM2.5,Morbidity,Lung cancer,Years Lived with Disability (YLD),>= 25 years of age,19038068,13957171,14.2,197,1.4
Romania,RO,PM2.5,Mortality,Asthma - children and adolescents,Attributable deaths (AD),< 19 years of age,19038068,3941499,14.2,0,0.0
Romania,RO,PM2.5,Mortality,Ischemic heart disease,Attributable deaths (AD),>= 25 years of age,19038068,13957171,14.2,8887,63.7
Romania,RO,PM2.5,Mortality,Lung cancer,Attributable deaths (AD),>= 25 years of age,19038068,13957171,14.2,1410,10.1
Portugal,PT,NO2,Mortality,All causes,Years of Life Lost (YLL),>= 30 years of age,9925856,7075770,11.9,7283,102.9
Portugal,PT,NO2,Mortality,Asthma - children and adolescents,Attributable deaths (AD),< 19 years of age,9925856,1693564,11.9,0,0.0
Portugal,PT,NO2,Total burden of disease,Asthma - children and adolescents,Disability-Adjusted Life Years (DALY),< 19 years of age,9925856,1693564,11.9,269,15.9
Portugal,PT,PM2.5,Mortality,Chronic obstructive pulmonary disease,Attributable deaths (AD),>= 25 years of age,9925856,7594707,9.3,232,3.1
Portugal,PT,PM2.5,Mortality,Diabetes Mellitus,Years of Life Lost (YLL),>= 25 years of age,9925856,7594707,9.3,6291,82.8
Sweden,SE,NO2,Morbidity,Asthma - adults,Years Lived with Disability (YLD),>= 19 years of age,10444357,8130901,6.7,69,0.9
Sweden,SE,NO2,Mortality,Chronic obstructive pulmonary disease,Attributable deaths (AD),>= 25 years of age,10444357,7438361,6.7,12,0.2
Sweden,SE,PM2.5,Morbidity,Lung cancer,Years Lived with Disability (YLD),>= 25 years of age,10444357,7438361,5.3,6,0.1
Sweden,SE,PM2.5,Mortality,Ischemic heart disease,Years of Life Lost (YLL),>= 25 years of age,10444357,7438361,5.3,1300,17.5
Sweden,SE,PM2.5,Mortality,Lung cancer,Years of Life Lost (YLL),>= 25 years of age,10444357,7438361,5.3,620,8.3
Slovakia,SK,NO2,Total burden of disease,Asthma - children and adolescents,Disability-Adjusted Life Years (DALY),< 19 years of age,5434620,1083447,11.1,48,4.4
